,session,trial_number,emotion_label,stim_start,stim_stop
39,3,15,sadness,1760641564.474109,1760641752.55907
40,3,16,anger,1760641759.048914,1760641810.41618
41,3,17,happy,1760641817.372802,1760641927.997956
42,3,18,happy,1760641959.679831,1760642080.414438
43,3,19,sadness,1760642183.816674,1760642484.895823
44,3,20,fear,1760642495.989907,1760642562.054663
45,3,21,anger,1760642571.647265,1760642679.286053
46,3,22,neutral,1760642688.1286,1760642809.648544
47,3,23,happy,1760642882.152333,1760643049.41678
48,4,0,sadness,1760562752.738948,1760562953.400485
49,4,1,disgust,1760562960.056795,1760563047.726396
50,4,2,fear,1760563052.864893,1760563207.500824
51,4,3,happy,1760563213.823334,1760563368.275255
52,4,4,fear,1760563373.480054,1760563515.536604
53,4,5,sadness,1760563521.792658,1760563627.346775
54,4,6,anger,1760563633.235804,1760563848.163512
55,4,7,anger,1760563854.736588,1760563954.852809
56,4,8,anger,1760563965.361923,1760564236.095235
57,4,9,sadness,1760564244.136287,1760564354.561664
58,4,10,disgust,1760564360.384226,1760564441.898085
59,4,11,neutral,1760564446.953307,1760564533.388194
60,4,12,neutral,1760564537.191845,1760564692.110278
61,4,13,disgust,1760564695.947309,1760564757.625173
62,4,14,fear,1760564765.115656,1760564927.125412
63,4,15,disgust,1760564933.448286,1760565064.994146
64,4,16,happy,1760565070.199197,1760565281.924681
65,4,17,fear,1760565287.7959,1760565449.506025
66,4,18,neutral,1760565456.161858,1760565605.65879
67,4,19,sadness,1760565610.580796,1760565929.077801
68,4,20,happy,1760565933.932355,1760565990.170658
69,4,21,happy,1760565996.126447,1760566203.013077
70,4,22,neutral,1760566207.851594,1760566317.859576
71,4,23,anger,1760566322.947515,1760566433.73982
72,5,0,fear,1761080782.687143,1761081242.883951
73,5,1,disgust,1761081248.738863,1761081387.443193
74,5,2,anger,1761081393.598978,1761081521.42552
75,5,3,neutral,1761081530.234262,1761081655.407633
76,5,4,happy,1761081659.411633,1761081817.684508
77,5,5,happy,1761081822.47122,1761081916.665345
78,5,6,anger,1761081921.970451,1761082030.661177
79,5,7,disgust,1761082039.002761,1761082157.653509
80,5,8,disgust,1761082162.924496,1761082259.020159
81,5,9,fear,1761082264.224658,1761082463.321336
82,5,10,sadness,1761082470.278195,1761082589.945476
83,5,11,sadness,1761082595.58443,1761082748.15247
84,5,12,disgust,1761082753.773784,1761082912.163836
85,5,13,neutral,1761082918.603613,1761083128.727796
86,5,14,fear,1761083133.114892,1761083299.561964
87,5,15,fear,1761083304.917706,1761083424.485986
88,5,16,sadness,1761083431.909627,1761083577.103083
89,5,17,neutral,1761083582.707969,1761083773.84746
90,5,18,anger,1761083777.91737,1761083898.93691
91,5,19,anger,1761083906.928716,1761084022.342006
92,5,20,neutral,1761084027.880962,1761084223.891516
93,5,21,happy,1761084227.411366,1761084320.636733
94,5,22,happy,1761084325.308156,1761084537.400364
95,5,23,sadness,1761084542.972724,1761084703.981288
96,6,0,happy,1761167134.736491,1761167358.563506
97,6,1,neutral,1761167364.586201,1761167486.206606
98,6,2,fear,1761167490.543252,1761167757.723902
99,6,3,disgust,1761167763.295882,1761167847.32896
100,6,4,anger,1761167855.269673,1761167986.917172
101,6,5,fear,1761167998.544857,1761168135.063439
102,6,6,happy,1761168141.835699,1761168290.349207
103,6,7,happy,1761168296.404627,1761168596.552055
104,6,8,anger,1761168602.073063,1761168709.696712
105,6,9,sadness,1761168717.803598,1761168964.51448
106,6,10,neutral,1761168973.222608,1761169108.172821
107,6,11,fear,1761169114.879578,1761169294.406663
108,6,12,disgust,1761169300.361878,1761169421.515578
109,6,13,disgust,1761169427.654311,1761169523.415998
110,6,14,fear,1761169534.326325,1761169639.11287
111,6,15,sadness,1761169646.687724,1761169769.658211
112,6,16,happy,1761169778.716755,1761169910.981007
113,6,17,anger,1761169918.088329,1761170053.004359
114,6,18,sadness,1761170063.598485,1761170319.050134
115,6,19,neutral,1761170327.308691,1761170505.267625
116,6,20,disgust,1761170509.321281,1761170637.497578
117,6,21,sadness,1761170642.569802,1761170906.296249
118,6,22,neutral,1761170911.801484,1761170988.39422
119,6,23,anger,1761170992.581501,1761171111.282676
120,7,0,disgust,1761774642.283545,1761774831.213918
121,7,1,disgust,1761774839.82991,1761774909.543362
122,7,2,disgust,1761774917.742185,1761774979.840932
123,7,3,fear,1761774984.13288,1761775161.964208
124,7,4,fear,1761775167.03999,1761775332.78213
125,7,5,happy,1761775338.709459,1761775449.165223
126,7,6,sadness,1761775453.173327,1761775565.232114
127,7,7,neutral,1761775570.007784,1761775735.364716
128,7,8,anger,1761775739.022574,1761775821.726944
129,7,9,neutral,1761775827.403528,1761775939.145257
130,7,10,sadness,1761775942.418543,1761776174.333844
131,7,11,neutral,1761776181.580855,1761776246.350858
132,7,12,disgust,1761776250.692755,1761776330.324956
133,7,13,happy,1761776337.354281,1761776419.223761
134,7,14,fear,1761776423.38109,1761776696.022676
135,7,15,anger,1761776701.933634,1761776859.193352
136,7,16,sadness,1761776865.087775,1761777139.76635
137,7,17,neutral,1761777144.759639,1761777322.205707
138,7,18,happy,1761777326.063562,1761777473.587823
139,7,19,anger,1761777477.996571,1761777588.68678
140,7,20,anger,1761777596.366682,1761777723.103182
141,7,21,sadness,1761777729.899802,1761777987.812783
142,7,22,fear,1761777992.538957,1761778161.219813
143,7,23,happy,1761778167.097701,1761778276.918778
144,8,0,anger,1762294957.429013,1762295161.504456
145,8,1,anger,1762295168.171412,1762295402.549824
146,8,2,happy,1762295409.700529,1762295631.178463
147,8,3,sadness,1762295638.712032,1762295752.376284
148,8,4,disgust,1762295758.859565,1762295839.041212
149,8,5,disgust,1762295844.474222,1762295907.689636
150,8,6,sadness,1762295912.706415,1762296204.767599
151,8,7,anger,1762296209.934362,1762296310.26564
152,8,8,anger,1762296316.08128,1762296454.695696
153,8,9,disgust,1762296466.495584,1762296529.2111
154,8,10,fear,1762296534.210522,1762296836.091809
155,8,11,fear,1762296842.325185,1762296931.789983
156,8,12,sadness,1762296938.47315,1762297048.087716
157,8,13,happy,1762297053.770388,1762297138.86874
158,8,14,neutral,1762297144.435881,1762297242.233973
159,8,15,happy,1762297245.867139,1762297492.678657
160,8,16,happy,1762297497.094578,1762297549.977584
161,8,17,fear,1762297555.610483,1762297620.259882
162,8,18,neutral,1762297631.426042,1762297783.937938
163,8,19,neutral,1762297787.987062,1762297953.917583
164,8,20,sadness,1762297958.16735,1762298110.764377
165,8,21,disgust,1762298116.648157,1762298205.962706
166,8,22,neutral,1762298211.262339,1762298415.892208
167,8,23,fear,1762298419.741424,1762298548.838761
168,9,0,fear,1762379276.914716,1762379573.131917
169,9,1,happy,1762379582.714329,1762379746.511661
170,9,2,disgust,1762379753.244695,1762379869.892254
171,9,3,sadness,1762379875.208885,1762379999.806066
172,9,4,sadness,1762380005.889251,1762380113.770982
173,9,5,neutral,1762380120.969832,1762380302.033326
174,9,6,neutral,1762380307.017153,1762380365.348823
175,9,7,sadness,1762380369.432031,1762380546.595526
176,9,8,neutral,1762380553.777999,1762380665.609817
177,9,9,disgust,1762380669.86,1762380725.292007
178,9,10,anger,1762380739.224843,1762380836.523565
179,9,11,fear,1762380843.106264,1762380922.587126
180,9,12,anger,1762380930.003877,1762381138.800408
181,9,13,happy,1762381144.149496,1762381317.530026
182,9,14,neutral,1762381323.413542,1762381444.110566
183,9,15,disgust,1762381448.610195,1762381538.80853
184,9,16,happy,1762381545.575438,1762381644.139676
185,9,17,anger,1762381649.090066,1762381740.571315
186,9,18,happy,1762381748.204432,1762381883.052349
187,9,19,anger,1762381888.034277,1762381949.784251
188,9,20,disgust,1762381956.667062,1762382038.515416
189,9,21,fear,1762382044.63149,1762382179.845711
190,9,22,fear,1762382187.812521,1762382255.660902
191,9,23,sadness,1762382266.794077,1762382428.707403
192,10,0,sadness,1762812255.916255,1762812429.417417
193,10,1,disgust,1762812434.333111,1762812491.566646
194,10,2,disgust,1762812497.433284,1762812564.432933
195,10,3,anger,1762812569.398846,1762812818.912648
196,10,4,neutral,1762812823.778795,1762812946.211616
197,10,5,anger,1762812951.044392,1762813083.776333
198,10,6,happy,1762813088.476025,1762813235.040996
199,10,7,fear,1762813240.241761,1762813352.406865
200,10,8,disgust,1762813357.622782,1762813479.339485
201,10,9,sadness,1762813485.505208,1762813629.203849
202,10,10,anger,1762813635.036743,1762813906.867253
203,10,11,disgust,1762813910.833288,1762814052.115048
204,10,12,happy,1762814059.315448,1762814145.297646
205,10,13,happy,1762814150.597544,1762814238.479706
206,10,14,anger,1762814243.263537,1762814344.612219
207,10,15,neutral,1762814350.978475,1762814473.844023
208,10,16,happy,1762814477.411238,1762814558.492963
209,10,17,fear,1762814563.009101,1762814636.77522
210,10,18,fear,1762814645.041109,1762814813.606286
211,10,19,sadness,1762814822.390033,1762815070.820073
212,10,20,sadness,1762815077.403832,1762815162.953101
213,10,21,neutral,1762815167.353015,1762815309.217366
214,10,22,neutral,1762815313.21712,1762815469.648807
215,10,23,fear,1762815473.34961,1762815540.281476
216,11,0,happy,1763591055.408436,1763591298.071747
217,11,1,disgust,1763591306.354621,1763591458.320039
218,11,2,fear,1763591463.469417,1763591663.300713
219,11,3,fear,1763591668.050896,1763591770.449363
220,11,4,disgust,1763591776.683128,1763591866.181748
221,11,5,neutral,1763591873.414861,1763592065.363177
222,11,6,sadness,1763592069.496934,1763592246.777874
223,11,7,happy,1763592251.1773,1763592410.092316
224,11,8,neutral,1763592415.125939,1763592481.408205
225,11,9,anger,1763592485.225219,1763592611.640595
226,11,10,anger,1763592618.772798,1763592748.205198
227,11,11,neutral,1763592752.955289,1763592968.385781
228,11,12,sadness,1763592973.818863,1763593240.583086
229,11,13,sadness,1763593245.132944,1763593356.981219
230,11,14,neutral,1763593361.847592,1763593542.480021
231,11,15,fear,1763593546.529304,1763593618.078205
232,11,16,fear,1763593625.378686,1763593683.260673
233,11,17,anger,1763593689.294167,1763593755.52686
234,11,18,happy,1763593760.243646,1763593925.624666
235,11,19,sadness,1763593931.991407,1763594050.857537
236,11,20,happy,1763594055.273143,1763594127.139066
237,11,21,anger,1763594133.1562,1763594290.387748
238,11,22,disgust,1763594299.65467,1763594363.369617
239,11,23,disgust,1763594369.81978,1763594487.602262
240,12,0,anger,1763676565.322686,1763676828.343039
241,12,1,disgust,1763676839.876066,1763676905.842253
242,12,2,disgust,1763676911.825049,1763677096.289748
243,12,3,neutral,1763677101.589762,1763677256.204407
244,12,4,sadness,1763677260.154773,1763677520.034945
245,12,5,disgust,1763677525.918078,1763677597.017124
246,12,6,fear,1763677601.6668,1763677808.814893
247,12,7,fear,1763677815.031378,1763677937.830407
248,12,8,sadness,1763677945.280307,1763678055.594996
249,12,9,fear,1763678062.245527,1763678258.009346
250,12,10,anger,1763678264.126237,1763678361.258995
251,12,11,disgust,1763678367.475163,1763678533.939875
252,12,12,neutral,1763678538.473527,1763678739.604251
253,12,13,anger,1763678742.904253,1763678832.803406
254,12,14,sadness,1763678839.152683,1763678985.517948
255,12,15,happy,1763678990.651106,1763679093.583893
256,12,16,happy,1763679097.9328,1763679270.565095
257,12,17,sadness,1763679275.181674,1763679378.746957
258,12,18,happy,1763679385.946628,1763679490.029325
259,12,19,neutral,1763679494.311558,1763679612.378029
260,12,20,neutral,1763679616.161129,1763679766.859184
261,12,21,fear,1763679770.325018,1763679919.057572
262,12,22,happy,1763679924.490756,1763680081.888434
263,12,23,anger,1763680086.639409,1763680150.655154
264,13,0,disgust,1763762924.093298,1763763197.220103
265,13,1,anger,1763763203.786075,1763763356.101251
266,13,2,neutral,1763763360.901175,1763763480.866005
267,13,3,happy,1763763486.165684,1763763561.731675
268,13,4,sadness,1763763566.181964,1763763741.013279
269,13,5,fear,1763763745.962819,1763764036.743305
270,13,6,neutral,1763764042.459263,1763764114.209343
271,13,7,anger,1763764119.092409,1763764180.425168
272,13,8,happy,1763764189.957707,1763764294.757296
273,13,9,disgust,1763764300.2403,1763764385.056344
274,13,10,fear,1763764389.922147,1763764487.771634
275,13,11,sadness,1763764493.571565,1763764669.369751
276,13,12,neutral,1763764676.23602,1763764845.500354
277,13,13,happy,1763764849.70016,1763764917.86652
278,13,14,anger,1763764923.433458,1763765002.865315
279,13,15,disgust,1763765013.115052,1763765211.046947
280,13,16,fear,1763765216.829821,1763765310.428592
281,13,17,sadness,1763765317.511598,1763765379.328021
282,13,18,anger,1763765385.444726,1763765554.692091
283,13,19,neutral,1763765562.158744,1763765660.774853
284,13,20,happy,1763765664.541042,1763765728.173438
285,13,21,fear,1763765732.339966,1763765869.872386
286,13,22,disgust,1763765876.372585,1763765939.12173
287,13,23,sadness,1763765945.137561,1763766076.687113
288,14,0,fear,1764711858.16516,1764712124.177532
289,14,1,anger,1764712135.688642,1764712266.684405
290,14,2,happy,1764712276.260319,1764712485.015376
291,14,3,sadness,1764712490.354327,1764712596.94183
292,14,4,disgust,1764712605.450318,1764712665.860366
293,14,5,neutral,1764712673.233239,1764712790.64929
294,14,6,sadness,1764712796.454333,1764712954.110513
295,14,7,fear,1764712960.749366,1764713165.484356
296,14,8,anger,1764713170.321796,1764713270.854205
297,14,9,happy,1764713276.242667,1764713454.318225
298,14,10,sadness,1764713459.238904,1764713617.661572
299,14,11,sadness,1764713621.9991,1764713694.620386
300,14,12,happy,1764713702.077733,1764713846.302662
301,14,13,anger,1764713852.042102,1764713920.742968
302,14,14,neutral,1764713930.836013,1764714233.283206
303,14,15,fear,1764714238.254156,1764714452.881981
304,14,16,neutral,1764714457.920192,1764714639.065318
305,14,17,disgust,1764714643.601833,1764714775.749496
306,14,18,neutral,1764714781.487882,1764714892.313485
307,14,19,happy,1764714897.452249,1764714984.137246
308,14,20,disgust,1764714995.381702,1764715056.65898
309,14,21,anger,1764715064.615797,1764715130.7983
310,14,22,disgust,1764715136.587259,1764715203.435456
311,14,23,fear,1764715209.642153,1764715452.614317
312,15,0,neutral,1764799505.427115,1764799740.09351
313,15,1,neutral,1764799746.032141,1764799807.509575
314,15,2,disgust,1764799812.698467,1764799919.119506
315,15,3,sadness,1764799924.190305,1764800010.641815
316,15,4,anger,1764800016.380724,1764800150.362808
317,15,5,sadness,1764800158.904321,1764800249.394001
318,15,6,fear,1764800255.866288,1764800445.802777
319,15,7,neutral,1764800452.342758,1764800567.806364
320,15,8,disgust,1764800574.012498,1764800683.520377
321,15,9,sadness,1764800689.09225,1764800787.638708
322,15,10,anger,1764800793.428463,1764800936.284673
323,15,11,fear,1764800941.123293,1764801049.079705
324,15,12,disgust,1764801055.268939,1764801136.798892
325,15,13,neutral,1764801143.772112,1764801320.796095
326,15,14,sadness,1764801327.886416,1764801392.13236
327,15,15,happy,1764801398.722559,1764801475.397433
328,15,16,anger,1764801481.88713,1764801595.049194
329,15,17,anger,1764801602.889697,1764801825.074858
330,15,18,happy,1764801830.663615,1764801968.615587
331,15,19,happy,1764801975.072233,1764802089.634576
332,15,20,fear,1764802095.506879,1764802152.78035
333,15,21,disgust,1764802160.087131,1764802262.187678
334,15,22,fear,1764802268.710414,1764802342.566397
335,15,23,happy,1764802349.223204,1764802439.377807
